"Date","Provider_Org_code","Provider_name","total_complete","total_incomplete","median_wait_complete","median_wait_incomplete","twoweek_complete","twoweek_incomplete"
2015-12-01,"RYK","DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST",9,6,0.9,1.33333333333333,0.666666666666667,0.833333333333333
2015-12-01,"TAD","BRADFORD DISTRICT CARE NHS FOUNDATION TRUST",21,10,0.7,1.75,0.952380952380952,0.6
2015-12-01,"TAF","CAMDEN AND ISLINGTON NHS FOUNDATION TRUST",15,12,1.78571428571429,1.66666666666667,0.6,0.583333333333333
2015-12-01,"TAH","SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST",13,7,4.125,4.5,0.307692307692308,0.142857142857143
2015-12-01,"TAJ","BLACK COUNTRY PARTNERSHIP NHS FOUNDATION TRUST",1,18,1.5,2.33333333333333,1,0.444444444444444
2016-01-01,"NHV","COMMUNITY LINKS (NORTHERN) LTD",12,17,1,2.5,0.833333333333333,0.411764705882353
2016-01-01,"NKD","THE YOUTH ENQUIRY SERVICE (PLYMOUTH) LTD",13,14,5.5,4.66666666666667,0.384615384615385,0.142857142857143
2016-01-01,"NQL","NAVIGO",7,3,1.25,1.5,0.714285714285714,0.666666666666667
2016-01-01,"R1A","WORCESTERSHIRE HEALTH AND CARE NHS TRUST",8,4,2.33333333333333,1,0.375,0.5
2016-01-01,"R1C","SOLENT NHS TRUST",4,0,1.5,13,0.75,NA
2016-01-01,"R1F","ISLE OF WIGHT NHS TRUST",3,3,0.75,1.5,1,0.666666666666667
2016-01-01,"RAT","NORTH EAST LONDON NHS FOUNDATION TRUST",21,27,1.07142857142857,2.92857142857143,0.80952380952381,0.259259259259259
2016-01-01,"RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST",16,2,0.571428571428571,0.5,1,1
2016-01-01,"RH5","SOMERSET PARTNERSHIP NHS FOUNDATION TRUST",7,32,5.5,12.1578947368421,0.142857142857143,0.125
2016-01-01,"RHA","NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST",22,81,7,3.3125,0.136363636363636,0.333333333333333
2016-01-01,"RJ8","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST",5,7,5.25,12.5,0.2,0
2016-01-01,"RKL","WEST LONDON MENTAL HEALTH NHS TRUST",16,12,1.75,1,0.5625,0.833333333333333
2016-01-01,"RLY","NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST",17,9,1.25,1.5625,0.764705882352941,0.888888888888889
2016-01-01,"RMY","NORFOLK AND SUFFOLK NHS FOUNDATION TRUST",14,0,4.5,13,0.285714285714286,NA
2016-01-01,"RNN","CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST",5,3,0.833333333333333,4.5,1,0
2016-01-01,"RNU","OXFORD HEALTH NHS FOUNDATION TRUST",10,18,1.5,2.2,0.6,0.444444444444444
2016-01-01,"RP1","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST",10,6,1.66666666666667,2.66666666666667,0.6,0.166666666666667
2016-01-01,"RP7","LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST",18,71,7,12.4180327868852,0.166666666666667,0.0704225352112676
2016-01-01,"RPG","OXLEAS NHS FOUNDATION TRUST",15,2,1.3,3,0.733333333333333,0
2016-01-01,"RQ3","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST",0,0,13,13,NA,NA
2016-01-01,"RQY","SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST",22,10,1.5,1,0.681818181818182,0.8
2016-01-01,"RRD","NORTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",7,4,1.3,2,1,0.5
2016-01-01,"RRE","SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST",6,17,2,2.5625,0.5,0.235294117647059
2016-01-01,"RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",19,37,1.3,2.94444444444444,0.68421052631579,0.27027027027027
2016-01-01,"RT1","CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST",13,20,0.8125,1.22222222222222,0.846153846153846,0.85
2016-01-01,"RT2","PENNINE CARE NHS FOUNDATION TRUST",7,104,6.25,11,0.142857142857143,0.0865384615384615
2016-01-01,"RT5","LEICESTERSHIRE PARTNERSHIP NHS TRUST",10,22,2,1.53846153846154,0.5,0.772727272727273
2016-01-01,"RTQ","2GETHER NHS FOUNDATION TRUST",11,12,2.75,0.857142857142857,0.363636363636364,0.666666666666667
2016-01-01,"RTV","NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST",17,38,1.35714285714286,5,0.764705882352941,0.263157894736842
2016-01-01,"RV3","CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST",16,46,1.16666666666667,2,0.8125,0.5
2016-01-01,"RV5","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST",17,7,1.16666666666667,2.375,0.647058823529412,0.285714285714286
2016-01-01,"RV9","HUMBER NHS FOUNDATION TRUST",4,8,3,2,0.25,0.5
2016-01-01,"RVN","AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST",37,7,1.05555555555556,3.75,0.72972972972973,0.142857142857143
2016-01-01,"RW1","SOUTHERN HEALTH NHS FOUNDATION TRUST",15,4,3.5,0.5,0.466666666666667,1
2016-01-01,"RW4","MERSEY CARE NHS FOUNDATION TRUST",17,19,1.83333333333333,3.5,0.529411764705882,0.473684210526316
2016-01-01,"RW5","LANCASHIRE CARE NHS FOUNDATION TRUST",26,58,2,1.6,0.5,0.603448275862069
2016-01-01,"RWK","EAST LONDON NHS FOUNDATION TRUST",27,24,1.05555555555556,1.57142857142857,0.814814814814815,0.625
2016-01-01,"RWN","SOUTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",14,0,0.636363636363636,13,1,NA
2016-01-01,"RWR","HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",12,0,0.666666666666667,13,0.833333333333333,NA
2016-01-01,"RWV","DEVON PARTNERSHIP NHS TRUST",16,6,1.8,4,0.5625,0
2016-01-01,"RWX","BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST",9,0,1.75,13,0.555555555555556,NA
2016-01-01,"RX2","SUSSEX PARTNERSHIP NHS FOUNDATION TRUST",32,32,1.55555555555556,1,0.625,0.65625
2016-01-01,"RX3","TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",52,130,2.6,7,0.442307692307692,0.192307692307692
2016-01-01,"RX4","NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",51,60,2.11538461538462,1.27272727272727,0.470588235294118,0.633333333333333
2016-01-01,"RXA","CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST",17,7,1.07142857142857,2.5,0.88235294117647,0.428571428571429
2016-01-01,"RXE","ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST",30,12,1.375,3,0.833333333333333,0
2016-01-01,"RXG","SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST",15,11,0.9375,0.916666666666667,0.933333333333333,0.909090909090909
2016-01-01,"RXM","DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST",10,8,1.33333333333333,4,0.7,0.25
2016-01-01,"RXT","BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST",23,129,6.16666666666667,3.39583333333333,0.0869565217391304,0.294573643410853
2016-01-01,"RXV","GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST",13,32,2.375,1.8,0.384615384615385,0.53125
2016-01-01,"RXX","SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST",18,9,1.57142857142857,1.5,0.666666666666667,0.666666666666667
2016-01-01,"RXY","KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST",16,45,2,1.6875,0.5,0.555555555555556
2016-01-01,"RYG","COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST",33,46,3.25,10,0.424242424242424,0.108695652173913
2016-01-01,"RYK","DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST",8,6,3,0.6,0.375,0.833333333333333
2016-01-01,"TAD","BRADFORD DISTRICT CARE NHS FOUNDATION TRUST",16,6,2.5,5,0.375,0.166666666666667
2016-01-01,"TAF","CAMDEN AND ISLINGTON NHS FOUNDATION TRUST",8,20,1.5,3,0.75,0.35
2016-01-01,"TAH","SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST",14,3,2,6.5,0.5,0.333333333333333
2016-01-01,"TAJ","BLACK COUNTRY PARTNERSHIP NHS FOUNDATION TRUST",7,23,2.75,4.1,0.285714285714286,0.217391304347826
2016-02-01,"NHV","COMMUNITY LINKS (NORTHERN) LTD",11,16,1.625,3,0.636363636363636,0.375
2016-02-01,"NKD","THE YOUTH ENQUIRY SERVICE (PLYMOUTH) LTD",10,4,3,2,0.2,0.5
2016-02-01,"NQL","NAVIGO",10,0,1.33333333333333,13,0.9,NA
2016-02-01,"R1A","WORCESTERSHIRE HEALTH AND CARE NHS TRUST",3,4,0.75,1.5,1,0.75
2016-02-01,"R1C","SOLENT NHS TRUST",1,2,1.5,4,1,0
2016-02-01,"R1F","ISLE OF WIGHT NHS TRUST",5,1,1.25,5.5,0.8,0
2016-02-01,"RAT","NORTH EAST LONDON NHS FOUNDATION TRUST",39,34,1.5,2.75,0.641025641025641,0.411764705882353
2016-02-01,"RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST",22,4,0.785714285714286,0.666666666666667,0.954545454545455,1
2016-02-01,"RH5","SOMERSET PARTNERSHIP NHS FOUNDATION TRUST",4,27,1,9.25,0.75,0.111111111111111
2016-02-01,"RHA","NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST",27,87,5.5,4.5625,0.185185185185185,0.206896551724138
2016-02-01,"RJ8","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST",17,1,1.1875,3.5,0.88235294117647,0
2016-02-01,"RKL","WEST LONDON MENTAL HEALTH NHS TRUST",20,9,1.85714285714286,3.25,0.55,0.333333333333333
2016-02-01,"RLY","NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST",5,12,1.75,2.33333333333333,0.6,0.416666666666667
2016-02-01,"RMY","NORFOLK AND SUFFOLK NHS FOUNDATION TRUST",13,0,1.25,13,0.615384615384615,NA
2016-02-01,"RNN","CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST",5,1,0.833333333333333,5.5,1,0
2016-02-01,"RNU","OXFORD HEALTH NHS FOUNDATION TRUST",6,17,3,4.625,0.333333333333333,0.117647058823529
2016-02-01,"RP1","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST",8,10,1.4,0.714285714285714,0.875,0.8
2016-02-01,"RP7","LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST",18,21,1.33333333333333,12.125,0.611111111111111,0.19047619047619
2016-02-01,"RPG","OXLEAS NHS FOUNDATION TRUST",22,13,1,1.375,0.818181818181818,0.692307692307692
2016-02-01,"RQ3","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST",2,0,0.5,13,1,NA
2016-02-01,"RQY","SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST",23,24,1.32142857142857,1.33333333333333,0.91304347826087,0.666666666666667
2016-02-01,"RRD","NORTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",24,8,2,2,0.5,0.5
2016-02-01,"RRE","SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST",7,7,1.7,2.5,0.714285714285714,0.428571428571429
2016-02-01,"RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",37,22,1.64285714285714,3.28571428571429,0.567567567567568,0.318181818181818
2016-02-01,"RT1","CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST",15,19,0.75,1.75,0.933333333333333,0.526315789473684
2016-02-01,"RT2","PENNINE CARE NHS FOUNDATION TRUST",5,70,4.5,2.81818181818182,0,0.371428571428571
2016-02-01,"RT5","LEICESTERSHIRE PARTNERSHIP NHS TRUST",10,18,1.25,1.33333333333333,0.8,0.611111111111111
2016-02-01,"RTQ","2GETHER NHS FOUNDATION TRUST",14,7,1.85714285714286,2.25,0.571428571428571,0.428571428571429
2016-02-01,"RTV","NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST",24,40,1.22222222222222,1.66666666666667,0.791666666666667,0.575
2016-02-01,"RV3","CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST",28,128,1.83333333333333,12.0153846153846,0.535714285714286,0.0625
2016-02-01,"RV5","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST",31,17,4.375,1.5,0.290322580645161,0.588235294117647
2016-02-01,"RV9","HUMBER NHS FOUNDATION TRUST",9,7,3.25,1.83333333333333,0.333333333333333,0.571428571428571
2016-02-01,"RVN","AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST",29,11,1.23333333333333,3.875,0.896551724137931,0.181818181818182
2016-02-01,"RW1","SOUTHERN HEALTH NHS FOUNDATION TRUST",19,6,1.375,1,0.631578947368421,0.833333333333333
2016-02-01,"RW4","MERSEY CARE NHS FOUNDATION TRUST",12,16,1.6,5.4,0.666666666666667,0.125
2016-02-01,"RW5","LANCASHIRE CARE NHS FOUNDATION TRUST",34,49,1.77777777777778,2.16666666666667,0.61764705882353,0.489795918367347
2016-02-01,"RWK","EAST LONDON NHS FOUNDATION TRUST",31,14,0.738095238095238,1,0.870967741935484,0.714285714285714
2016-02-01,"RWN","SOUTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",12,0,0.857142857142857,13,0.833333333333333,NA
2016-02-01,"RWR","HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",16,10,0.666666666666667,1,0.8125,0.7
2016-02-01,"RWV","DEVON PARTNERSHIP NHS TRUST",7,11,0.875,1.91666666666667,0.714285714285714,0.545454545454545
2016-02-01,"RWX","BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST",10,1,1.25,3.5,0.8,0
2016-02-01,"RX2","SUSSEX PARTNERSHIP NHS FOUNDATION TRUST",36,26,1.41176470588235,4.28571428571429,0.777777777777778,0.269230769230769
2016-02-01,"RX3","TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",25,114,0.833333333333333,3.35714285714286,0.72,0.324561403508772
2016-02-01,"RX4","NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",63,91,1.4047619047619,2.03333333333333,0.698412698412698,0.494505494505495
2016-02-01,"RXA","CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST",15,17,0.833333333333333,1.83333333333333,0.866666666666667,0.529411764705882
2016-02-01,"RXE","ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST",21,4,1.31818181818182,4,0.857142857142857,0
2016-02-01,"RXG","SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST",17,20,1.07142857142857,1.6,0.88235294117647,0.6
2016-02-01,"RXM","DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST",12,17,0.666666666666667,1.5,0.75,0.647058823529412
2016-02-01,"RXT","BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST",32,123,5.66666666666667,5.375,0.09375,0.16260162601626
2016-02-01,"RXV","GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST",39,21,1.38235294117647,3.75,0.769230769230769,0.333333333333333
2016-02-01,"RXX","SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST",22,7,1.125,0.7,0.818181818181818,0.714285714285714
2016-02-01,"RXY","KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST",16,34,1.875,1.75,0.5625,0.558823529411765
2016-02-01,"RYG","COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST",33,46,2.5,6.8,0.393939393939394,0.195652173913043
2016-02-01,"RYK","DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST",8,4,0.8,1.5,0.75,0.75
2016-02-01,"TAD","BRADFORD DISTRICT CARE NHS FOUNDATION TRUST",24,10,1.14285714285714,3.5,0.75,0.3
2016-02-01,"TAF","CAMDEN AND ISLINGTON NHS FOUNDATION TRUST",18,23,2,2.75,0.5,0.434782608695652
2016-02-01,"TAH","SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST",19,4,2.5,4,0.421052631578947,0
2016-02-01,"TAJ","BLACK COUNTRY PARTNERSHIP NHS FOUNDATION TRUST",7,35,5.25,4.07142857142857,0.142857142857143,0.314285714285714
2016-03-01,"NHV","COMMUNITY LINKS (NORTHERN) LTD",15,18,0.833333333333333,6,1,0.277777777777778
2016-03-01,"NKD","THE YOUTH ENQUIRY SERVICE (PLYMOUTH) LTD",4,4,0.666666666666667,2,0.75,0.5
2016-03-01,"NQL","NAVIGO",2,0,0.5,13,1,NA
2016-03-01,"R1A","WORCESTERSHIRE HEALTH AND CARE NHS TRUST",6,3,1.75,1.5,0.666666666666667,0.666666666666667
2016-03-01,"R1C","SOLENT NHS TRUST",3,2,3.5,6,0.333333333333333,0
2016-03-01,"R1F","ISLE OF WIGHT NHS TRUST",4,2,1.5,2.5,0.75,0
2016-03-01,"RAT","NORTH EAST LONDON NHS FOUNDATION TRUST",25,63,1.5,5.3,0.64,0.19047619047619
2016-03-01,"RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST",16,5,1.25,1.375,0.875,1
2016-03-01,"RH5","SOMERSET PARTNERSHIP NHS FOUNDATION TRUST",5,26,1.25,11,0.8,0.115384615384615
2016-03-01,"RHA","NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST",39,73,5.41666666666667,7.59090909090909,0.282051282051282,0.10958904109589
2016-03-01,"RJ8","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST",10,15,1.75,2.75,0.6,0.4
2016-03-01,"RKL","WEST LONDON MENTAL HEALTH NHS TRUST",13,15,1.25,3.375,0.615384615384615,0.333333333333333
2016-03-01,"RLY","NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST",9,5,1.375,4.25,0.777777777777778,0
2016-03-01,"RMY","NORFOLK AND SUFFOLK NHS FOUNDATION TRUST",17,0,2.375,13,0.411764705882353,NA
2016-03-01,"RNN","CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST",11,4,1.3,4,0.818181818181818,0
2016-03-01,"RNU","OXFORD HEALTH NHS FOUNDATION TRUST",16,27,1.88888888888889,4.375,0.5625,0.185185185185185
2016-03-01,"RP1","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST",10,2,2.5,1,0.4,0.5
2016-03-01,"RP7","LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST",5,2,1.25,3,0.8,0
2016-03-01,"RPG","OXLEAS NHS FOUNDATION TRUST",16,5,0.888888888888889,0.833333333333333,0.875,0.8
2016-03-01,"RQ3","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST",0,0,13,13,NA,NA
2016-03-01,"RQY","SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST",32,13,1.81818181818182,1.875,0.5625,0.538461538461538
2016-03-01,"RRD","NORTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",16,24,2.5,2.33333333333333,0.375,0.458333333333333
2016-03-01,"RRE","SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST",8,11,3,3.5,0.25,0
2016-03-01,"RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",39,22,1.64285714285714,3,0.564102564102564,0.409090909090909
2016-03-01,"RT1","CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST",12,11,1,1.875,0.833333333333333,0.545454545454545
2016-03-01,"RT2","PENNINE CARE NHS FOUNDATION TRUST",19,31,3.5,5.16666666666667,0.31578947368421,0.193548387096774
2016-03-01,"RT5","LEICESTERSHIRE PARTNERSHIP NHS TRUST",8,8,1.75,1,0.625,0.875
